rom_wrong_name;rom_official_name;alt_rom_official_name
;mslug4h;Metal Slug 4 (NGH-2630)
;mslug5;Metal Slug 5 (NGM-2680)
;mslug5h;Metal Slug 5 (NGH-2680)
;mslugx;Metal Slug X - Super Vehicle-001 (NGM-2500 ~ NGH-2500)
;mtlchamp;Martial Champion (ver EAB)
;mtlchamp1;Martial Champion (ver EAA)
;mtlchampa;Martial Champion (ver AAA)
;mtlchampj;Martial Champion (ver JAA)
;mtlchampu;Martial Champion (ver UAE)
;mtlchampu1;Martial Champion (ver UAD)
Clash of Super Heroes (Euro 980123);mvsc;Marvel Vs. Capcom
New Age of Heroes (Export, Korea, Rev A);mvsc2;Marvel Vs. Capcom 2
New Age of Heroes (USA, Rev A);mvsc2u;Marvel Vs. Capcom 2
Clash of Super Heroes (Asia 980123);mvsca;Marvel Vs. Capcom
Clash of Super Heroes (Asia 980112);mvscar1;Marvel Vs. Capcom
Clash of Super Heroes (Brazil 980123);mvscb;Marvel Vs. Capcom
Clash of Super Heroes (Hispanic 980123);mvsch;Marvel Vs. Capcom
Clash of Super Heroes (Japan 980123);mvscj;Marvel Vs. Capcom
Clash of Super Heroes (Japan 980112);mvscjr1;Marvel Vs. Capcom
Clash of Super Heroes (Japan 980123) (Single PCB);mvscjsing;Marvel Vs. Capcom
Clash of Super Heroes (Euro 980112);mvscr1;Marvel Vs. Capcom
Clash of Super Heroes (USA 980123);mvscu;Marvel Vs. Capcom
Clash of Super Heroes (USA 971222);mvscur1;Marvel Vs. Capcom
;ninjamas;'Ninja Master''s - Haoh-ninpo-cho'
'Darkstalkers'' Revenge (Euro 950316)';nwarr;Night Warriors
'Darkstalkers'' Revenge (Asia 950302)';nwarra;Night Warriors
'Darkstalkers'' Revenge (Brazil 950403)';nwarrb;Night Warriors
'Darkstalkers'' Revenge (Hispanic 950403)';nwarrh;Night Warriors
'Darkstalkers'' Revenge (USA 950406)';nwarru;Night Warriors
;pfghtj;Pocket Fighter (Japan 970904)
Strategic Variant Armor Equipment (Japan 941024);pgear;Powered Gear
Strategic Variant Armor Equipment (Japan 940916);pgearr1;Powered Gear
;plegends;Gogetsuji Legends (US, Ver. 95.06.20)
;plegendsj;Gouketsuji Gaiden - Saikyou Densetsu (Japan, Ver. 95.06.20)
Nightmare of Bilstein (USA 980316);plsmaswd;Plasma Sword
Nightmare of Bilstein (Asia 980316);plsmaswda;Plasma Sword
;powerins;Power Instinct (USA)
;powerinsj;Gouketsuji Ichizoku (Japan)
;powerinspj;Gouketsuji Ichizoku (Japan, prototype)
;powerinspu;Power Instinct (USA, prototype)
;primrag2;Primal Rage 2 (Ver 0.36a)
;primrage;Primal Rage (version 2.3)
;primrage20;Primal Rage (version 2.0)
;psoldier;Perfect Soldiers (Japan)
;pwrinst2;Power Instinct 2 (US, Ver. 94.04.08)
;pwrinst2j;Gouketsuji Ichizoku 2 (Japan, Ver. 94.04.08)
;ragnagrd;Ragnagard / Shin-Oh-Ken
;rbff1;Real Bout Fatal Fury / Real Bout Garou Densetsu (NGM-095 ~ NGH-095)
;rbff1a;Real Bout Fatal Fury / Real Bout Garou Densetsu (bug fix revision)
;rbff1k;Real Bout Fatal Fury / Real Bout Garou Densetsu (Korean release)
;rbff1ka;Real Bout Fatal Fury / Real Bout Garou Densetsu (Korean release, bug fix revision)
;rbff2;Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - The Newcomers (NGM-2400)
;rbff2h;Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - The Newcomers (NGH-2400)
;rbff2k;Real Bout Fatal Fury 2 - The Newcomers (Korean release)
;rbffspec;Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special
;rbffspeck;Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special (Korean release)
;rdft2;Raiden Fighters 2 - Operation Hell Dive (Germany)
;rdft22kc;Raiden Fighters 2 - Operation Hell Dive 2000 (China, SYS386I)
;rdft2a;Raiden Fighters 2 - Operation Hell Dive (Hong Kong)
;rdft2aa;Raiden Fighters 2 - Operation Hell Dive (Korea)
;rdft2it;Raiden Fighters 2 - Operation Hell Dive (Italy)
;rdft2j;Raiden Fighters 2 - Operation Hell Dive (Japan set 1)
;rdft2ja;Raiden Fighters 2 - Operation Hell Dive (Japan set 2)
;rdft2jb;Raiden Fighters 2 - Operation Hell Dive (Japan set 3)
;rdft2jc;Raiden Fighters 2 - Operation Hell Dive (Japan set 4)
;rdft2s;Raiden Fighters 2 - Operation Hell Dive (Switzerland)
;rdft2t;Raiden Fighters 2 - Operation Hell Dive (Taiwan)
;rdft2u;Raiden Fighters 2 - Operation Hell Dive (US)
;rdft2us;Raiden Fighters 2 - Operation Hell Dive (US, single board)
;redearth;Red Earth (Euro 961121)
;redearthr1;Red Earth (Euro 961023)
;rfjet;Raiden Fighters Jet (Germany)
;rfjet2kc;Raiden Fighters Jet 2000 (China, SYS386I)
;rfjeta;Raiden Fighters Jet (Korea)
;rfjetj;Raiden Fighters Jet (Japan)
;rfjets;Raiden Fighters Jet (US, single board)
;rfjetsa;Raiden Fighters Jet (US, single board, test version?)
;rfjett;Raiden Fighters Jet (Taiwan)
;rfjetu;Raiden Fighters Jet (US)
Slammasters II (Euro 940902);ringdest;Ring of Destruction
Slammasters II (Asia 940831);ringdesta;Ring of Destruction
Slammasters II (Brazil 940902);ringdestb;Ring of Destruction
Slammasters II (Hispanic 940902);ringdesth;Ring of Destruction
;rotd;Rage of the Dragons (NGM-2640?)
;rotdh;Rage of the Dragons (NGH-2640?)
United By Fate (Euro 971117);rvschool;Rival Schools
United By Fate (Asia 971117);rvschoola;Rival Schools
United By Fate (USA 971117);rvschoolu;Rival Schools
;s1945iii;Strikers 1945 III (World) / Strikers 1999 (Japan)
;s1945p;Strikers 1945 Plus
;sams64;Samurai Shodown 64 / Samurai Spirits 64
Warriors Rage / Samurai Spirits 2;sams64_2;Samurai Shodown 64
;samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720)
;samsh5sph;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720, 2nd release, less censored)
;samsh5spho;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720, 1st release, censored)
;samsho;Samurai Shodown / Samurai Spirits (NGM-045)
;samsho2;Samurai Shodown II / Shin Samurai Spirits - Haohmaru Jigokuhen (NGM-063 ~ NGH-063)
;samsho2k;Saulabi Spirits / Jin Saulabi Tu Hon (Korean release of Samurai Shodown II, set 1)
;samsho2ka;Saulabi Spirits / Jin Saulabi Tu Hon (Korean release of Samurai Shodown II, set 2)
;samsho3;Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGM-087)
;samsho3h;Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGH-087)
;samsho4;'Samurai Shodown IV - Amakusa''s Revenge / Samurai Spirits - Amakusa Kourin (NGM-222 ~ NGH-222)'
;samsho4k;Pae Wang Jeon Seol / Legend of a Warrior (Korean censored Samurai Shodown IV)
;samsho5;Samurai Shodown V / Samurai Spirits Zero (NGM-2700, set 1)
;samsho5a;Samurai Shodown V / Samurai Spirits Zero (NGM-2700, set 2)
;samsho5h;Samurai Shodown V / Samurai Spirits Zero (NGH-2700)
;samshoh;Samurai Shodown / Samurai Spirits (NGH-045)
;savagere;'Savage Reign / Fu''un Mokushiroku - Kakutou Sousei'
;schamp;Sonic Championship (USA)
;sdodgeb;Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu
;sf;Street Fighter (US, set 1)
The World Warrior (World 910522);sf2;Street Fighter II
Champion Edition (World 920513);sf2ce;'Street Fighter II'''
Champion Edition (World 920313);sf2ceea;'Street Fighter II'''
Champion Edition (Japan 920322);sf2ceja;'Street Fighter II'''
Champion Edition (Japan 920513);sf2cejb;'Street Fighter II'''
Champion Edition (Japan 920803);sf2cejc;'Street Fighter II'''
Champion Edition (Taiwan 920313);sf2cet;'Street Fighter II'''
Champion Edition (USA 920313);sf2ceua;'Street Fighter II'''
Champion Edition (USA 920513);sf2ceub;'Street Fighter II'''
